step,elapsed_sec,step_ms,forward_ms,backward_ms,optimizer_step_ms,checkpoint_ms,loss
1,0.7645753752440214,750.968258,274.840292,373.670464,102.310711,-1e-06,12.092621803283691
2,1.4023743998259306,633.508279,180.850755,355.853464,96.025257,-1e-06,12.059181213378906
3,2.0424113776534796,633.792385,180.783163,356.263171,95.990706,-1e-06,12.063665390014648
4,2.681906096637249,633.691523,180.959336,355.959346,95.963865,-1e-06,12.08522891998291
5,3.3212307672947645,633.053251,180.829484,355.565048,95.902535,-1e-06,12.0717191696167
6,3.962355960160494,633.576512,180.885245,355.955026,95.950676,-1e-06,12.09197998046875
7,4.604245534166694,636.335146,180.890125,355.598678,99.085868,-1e-06,12.092018127441406
8,5.242269771173596,633.971679,180.971947,355.706191,96.515436,-1e-06,12.101916313171387
9,5.879772689193487,632.427889,180.914176,355.273701,95.497706,-1e-06,12.174193382263184
10,6.521043451502919,633.901748,180.764183,356.121758,96.020967,-1e-06,12.184247016906738
11,7.1612613145262,633.195183,180.953807,355.513187,95.879264,-1e-06,12.202816009521484
12,7.799817964434624,632.903998,180.877545,355.289952,95.968947,-1e-06,12.205918312072754
13,8.44002772308886,633.535421,180.945396,355.920484,95.869194,-1e-06,12.251542091369629
14,9.078868970274925,632.749805,180.960585,355.414935,95.585208,-1e-06,12.265891075134277
15,9.719223864376545,633.196413,180.875505,355.66843,95.854393,-1e-06,12.269155502319336
16,10.36008119955659,633.066572,180.861825,355.333943,96.096858,-1e-06,12.282621383666992
17,10.9981187582016,632.095802,180.920895,355.005697,95.410935,-1e-06,12.430266380310059
18,11.638560812920332,632.98614,180.906365,355.297432,96.009117,-1e-06,12.519338607788086
19,12.278539258986712,633.098562,180.908225,355.422106,95.983736,-1e-06,12.545193672180176
20,12.917921455577016,632.609592,180.999318,354.946405,95.881275,-1e-06,12.552776336669922
21,13.559200540184975,633.346267,180.930015,355.698771,95.865654,-1e-06,12.620129585266113
22,14.197853030636907,632.694454,180.903655,355.144079,95.886254,-1e-06,12.620908737182617
23,14.83774172514677,633.199634,181.028598,355.607058,95.64186,-1e-06,12.717569351196289
24,15.476720692589879,632.212685,180.898505,354.865284,95.65003,-1e-06,12.797682762145996
25,16.116063456982374,631.795976,180.909755,354.594718,95.527447,-1e-06,12.876934051513672
26,16.756691748276353,632.284056,180.626959,354.880595,96.001426,-1e-06,12.89815902709961
27,17.396949069574475,632.819457,180.62686,355.466315,95.935946,-1e-06,12.937030792236328
28,18.035431686788797,631.939248,180.788792,354.776133,95.609539,-1e-06,12.979133605957031
29,18.67535488307476,632.137373,180.846824,354.892494,95.62149,-1e-06,13.011459350585938
30,19.315640915185213,632.532601,180.975757,354.849364,95.931755,-1e-06,13.002923011779785
31,19.955978559330106,632.064332,180.717662,354.713631,95.856854,-1e-06,12.986106872558594
32,20.595503179356456,632.520281,180.972736,354.953586,95.820304,-1e-06,13.044041633605957
33,21.234281731769443,631.49659,180.838873,354.365404,95.520956,-1e-06,13.047789573669434
34,21.87486025132239,632.678354,180.730582,354.744121,96.421445,-1e-06,13.06640625
35,22.51526228711009,632.060402,180.974176,354.535608,95.764882,-1e-06,13.069543838500977
36,23.155454967170954,632.444349,180.803963,354.485046,96.363014,-1e-06,13.050493240356445
37,23.794117348268628,631.928659,181.112529,354.443025,95.608289,-1e-06,13.036272048950195
38,24.43362708762288,632.032501,180.769033,354.447875,96.055388,-1e-06,13.0870361328125
39,25.074292028322816,632.949289,180.800032,355.244832,95.968836,-1e-06,13.040349960327148
40,25.713807275518775,632.394507,180.891365,354.583928,96.004956,-1e-06,13.041555404663086
41,26.3538053445518,631.660094,180.819644,354.17126,95.889784,-1e-06,13.007368087768555
42,26.993312679231167,632.243535,180.716891,354.371455,96.386874,-1e-06,13.056229591369629
43,27.632378969341516,631.680094,180.875945,354.262082,95.788753,-1e-06,13.029434204101562
44,28.272505478933454,632.158144,180.829393,354.577879,95.930705,-1e-06,13.036053657531738
45,28.911627849563956,631.539961,180.736272,354.199011,95.811423,-1e-06,13.001198768615723
46,29.552007004618645,632.043991,180.878394,354.228072,96.170419,-1e-06,13.03249740600586
47,30.191455421969295,631.612723,180.940876,354.378774,95.515887,-1e-06,13.034493446350098
48,30.830942139029503,631.516011,180.913305,354.214001,95.628049,-1e-06,12.991893768310547
49,31.47042109631002,631.443959,180.775503,354.091318,95.815773,-1e-06,13.011651992797852
50,32.10547724738717,632.102861,180.983926,354.66423,95.67944,-1e-06,13.004182815551758
51,32.74079689197242,632.296956,181.094879,354.398665,96.035587,-1e-06,13.023052215576172
52,33.37532273121178,631.597282,181.061858,354.085759,95.66931,-1e-06,13.009295463562012
53,34.01041767373681,631.324697,180.933535,353.968197,95.67418,-1e-06,13.0121431350708
54,34.65103122405708,632.599492,181.059919,354.019137,96.727041,-1e-06,13.043744087219238
55,35.28990108706057,631.000671,180.956146,353.571509,95.707931,-1e-06,12.980703353881836
56,35.929577600210905,631.872757,180.855334,354.16577,96.075798,-1e-06,13.036128044128418
57,36.56875297985971,631.379768,180.734292,354.126649,95.763552,-1e-06,13.042271614074707
58,37.203647907823324,631.779226,180.853294,354.272472,95.890054,-1e-06,13.002437591552734
59,37.83876792714,632.022451,181.16113,354.459116,95.63686,-1e-06,12.995906829833984
60,38.474734308198094,632.940108,181.066539,354.153629,96.748431,-1e-06,13.012545585632324
61,39.10988958925009,631.5213,181.2112,353.721132,95.725321,-1e-06,13.001296043395996
62,39.74947526678443,631.626523,180.955936,353.914405,95.993517,-1e-06,13.012117385864258
