step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.4826418589800596,472.710257,85.0,14535.25,32760.0,79.478,70371.0,1.95475e-05,0.0007819,1.95475e-05,0.0007819,5070.90673828125,13746.0,17022.06640625,515475.12890625,0.6,2215.68359375,27243.0546875,101.5,,
3,1.2172910571098328,365.079566,95.0,17681.25,32760.0,184.08,135026.0,3.7507222222222223e-05,0.001500288888888889,5.7054722222222226e-05,0.002282188888888889,5070.91455078125,16892.0,17022.3125,515475.12890625,0.6,2215.8515625,30443.0546875,100.2,,
5,1.955786071717739,365.526862,97.0,17681.25,32760.0,191.866,149822.0,4.161722222222222e-05,0.0016646888888888888,9.867194444444445e-05,0.003946877777777778,5070.91455078125,16892.0,17022.3125,515475.12890625,0.5,2215.8984375,30443.0546875,100.8,,
7,2.68872974999249,364.19769,88.0,17681.25,32760.0,192.063,133835.0,3.717638888888889e-05,0.0014870555555555557,0.00013584833333333334,0.005433933333333333,5070.91455078125,16892.0,17022.3125,515475.12890625,0.6,2216.09375,30443.0546875,99.6,,
9,3.4212920386344194,364.539946,93.0,17681.25,32760.0,192.115,133953.0,3.720916666666667e-05,0.0014883666666666668,0.00017305750000000001,0.0069223,5070.91455078125,16892.0,17022.30859375,515475.12890625,0.6,2216.1328125,30443.0546875,99.6,,
11,4.159340316429734,365.620795,98.0,17681.25,32760.0,191.645,148723.0,4.131194444444444e-05,0.0016524777777777778,0.00021436944444444447,0.008574777777777778,5070.91455078125,16892.0,17022.54296875,515475.12890625,0.5,2216.1875,30443.0546875,101.4,,
13,4.893761930987239,364.562217,88.0,17681.25,32760.0,191.357,135411.0,3.761416666666667e-05,0.001504566666666667,0.00025198361111111115,0.010079344444444445,5070.91455078125,16892.0,17022.54296875,515475.12890625,0.5,2216.234375,30444.0546875,99.6,,
15,5.629414025694132,367.202671,92.0,17681.25,32760.0,192.392,133183.0,3.699527777777778e-05,0.0014798111111111111,0.00028897888888888894,0.011559155555555556,5070.91455078125,16892.0,17022.54296875,515475.12890625,0.5,2216.28125,30444.0546875,100.6,,
17,6.361810004338622,364.342752,99.0,17681.25,32760.0,192.177,149087.0,4.1413055555555556e-05,0.0016565222222222223,0.0003303919444444445,0.013215677777777778,5070.91455078125,16892.0,17022.54296875,515475.12890625,0.5,2216.3359375,30444.0546875,99.7,,
19,7.095473065972328,364.680538,88.0,17681.25,32760.0,192.269,135448.0,3.762444444444445e-05,0.001504977777777778,0.00036801638888888895,0.014720655555555556,5070.91455078125,16892.0,17018.60546875,515475.12890625,0.5,2216.3671875,30444.0546875,100.2,,
