start_sec,end_sec,duration_sec,avg_gpu_util
0,30,31,91.58602150537634
32,37,6,93.25
39,44,6,92.08333333333333
46,51,6,92.08333333333333
53,58,6,92.05555555555556
60,69,10,92.71666666666667
71,73,3,92.5
75,77,3,92.33333333333333
79,84,6,92.11111111111111
86,88,3,92.44444444444444
90,92,3,91.94444444444444
94,96,3,91.88888888888889
98,103,6,92.02777777777777
105,107,3,92.44444444444444
109,111,3,91.94444444444444
113,115,3,91.66666666666667
117,122,6,91.47222222222223
124,126,3,92.44444444444444
128,130,3,91.66666666666667
132,134,3,91.38888888888889
136,149,14,92.05952380952381
151,153,3,90.83333333333333
155,161,7,93.16666666666667
163,165,3,90.72222222222223
167,173,7,92.21428571428571
175,177,3,91.66666666666667
179,270,92,93.21920289855072
272,295,24,92.875
297,300,4,92.25
